;Payment_Behaviour
0;High_spent_Small_value_payments
1;Low_spent_Medium_value_payments
2;Low_spent_Small_value_payments
3;Low_spent_Large_value_payments
4;High_spent_Medium_value_payments
5;Low_spent_Small_value_payments
6;Low_spent_Small_value_payments
7;High_spent_Medium_value_payments
8;High_spent_Large_value_payments
9;Low_spent_Large_value_payments
10;High_spent_Medium_value_payments
11;Low_spent_Medium_value_payments
12;High_spent_Medium_value_payments
13;High_spent_Medium_value_payments
14;High_spent_Medium_value_payments
15;Low_spent_Small_value_payments
16;High_spent_Large_value_payments
17;High_spent_Large_value_payments
18;High_spent_Large_value_payments
19;Low_spent_Small_value_payments
20;High_spent_Medium_value_payments
21;Low_spent_Small_value_payments
22;High_spent_Small_value_payments
23;Low_spent_Large_value_payments
24;High_spent_Small_value_payments
25;Low_spent_Medium_value_payments
26;Low_spent_Small_value_payments
27;High_spent_Medium_value_payments
28;High_spent_Medium_value_payments
29;High_spent_Medium_value_payments
30;High_spent_Medium_value_payments
31;High_spent_Medium_value_payments
32;High_spent_Large_value_payments
33;Low_spent_Medium_value_payments
34;High_spent_Small_value_payments
35;Low_spent_Large_value_payments
36;High_spent_Small_value_payments
37;High_spent_Small_value_payments
38;High_spent_Small_value_payments
39;Low_spent_Small_value_payments
40;High_spent_Medium_value_payments
41;High_spent_Small_value_payments
42;High_spent_Large_value_payments
43;High_spent_Medium_value_payments
44;Low_spent_Medium_value_payments
45;Low_spent_Large_value_payments
46;Low_spent_Medium_value_payments
47;Low_spent_Medium_value_payments
48;High_spent_Small_value_payments
49;Low_spent_Medium_value_payments
50;Low_spent_Medium_value_payments
51;High_spent_Large_value_payments
52;Low_spent_Medium_value_payments
53;Low_spent_Medium_value_payments
54;High_spent_Large_value_payments
55;Low_spent_Large_value_payments
56;Low_spent_Small_value_payments
57;Low_spent_Large_value_payments
58;High_spent_Small_value_payments
59;Low_spent_Small_value_payments
60;High_spent_Small_value_payments
61;High_spent_Small_value_payments
62;Low_spent_Small_value_payments
63;Low_spent_Medium_value_payments
64;High_spent_Large_value_payments
65;High_spent_Large_value_payments
66;High_spent_Medium_value_payments
67;High_spent_Medium_value_payments
68;High_spent_Small_value_payments
69;High_spent_Small_value_payments
70;Low_spent_Small_value_payments
71;Low_spent_Small_value_payments
72;Low_spent_Medium_value_payments
73;High_spent_Large_value_payments
74;High_spent_Large_value_payments
75;High_spent_Medium_value_payments
76;Low_spent_Medium_value_payments
77;High_spent_Small_value_payments
78;Low_spent_Small_value_payments
79;High_spent_Small_value_payments
80;High_spent_Small_value_payments
81;High_spent_Small_value_payments
82;High_spent_Medium_value_payments
83;Low_spent_Large_value_payments
84;Low_spent_Small_value_payments
85;Low_spent_Small_value_payments
86;Low_spent_Small_value_payments
87;Low_spent_Small_value_payments
88;High_spent_Medium_value_payments
89;Low_spent_Large_value_payments
90;High_spent_Large_value_payments
91;Low_spent_Large_value_payments
92;Low_spent_Large_value_payments
93;Low_spent_Medium_value_payments
94;Low_spent_Medium_value_payments
95;Low_spent_Large_value_payments
96;Low_spent_Medium_value_payments
97;High_spent_Medium_value_payments
98;Low_spent_Medium_value_payments
99;High_spent_Large_value_payments
100;High_spent_Large_value_payments
101;Low_spent_Medium_value_payments
102;Low_spent_Small_value_payments
103;Low_spent_Large_value_payments
104;High_spent_Medium_value_payments
105;High_spent_Large_value_payments
106;High_spent_Small_value_payments
107;High_spent_Large_value_payments
108;High_spent_Medium_value_payments
109;Low_spent_Large_value_payments
110;High_spent_Large_value_payments
111;High_spent_Large_value_payments
112;High_spent_Medium_value_payments
113;Low_spent_Large_value_payments
114;High_spent_Medium_value_payments
115;High_spent_Small_value_payments
116;High_spent_Large_value_payments
117;Low_spent_Large_value_payments
118;High_spent_Small_value_payments
119;Low_spent_Small_value_payments
120;High_spent_Large_value_payments
121;High_spent_Large_value_payments
122;Low_spent_Medium_value_payments
123;High_spent_Large_value_payments
124;High_spent_Medium_value_payments
125;High_spent_Large_value_payments
126;High_spent_Large_value_payments
127;High_spent_Medium_value_payments
128;Low_spent_Small_value_payments
129;High_spent_Medium_value_payments
130;Low_spent_Large_value_payments
131;Low_spent_Large_value_payments
132;High_spent_Medium_value_payments
133;Low_spent_Small_value_payments
134;High_spent_Medium_value_payments
135;Low_spent_Medium_value_payments
136;High_spent_Small_value_payments
137;Low_spent_Large_value_payments
138;Low_spent_Small_value_payments
139;Low_spent_Small_value_payments
140;Low_spent_Small_value_payments
141;High_spent_Large_value_payments
142;High_spent_Large_value_payments
143;Low_spent_Large_value_payments
144;High_spent_Large_value_payments
145;Low_spent_Large_value_payments
146;High_spent_Large_value_payments
147;High_spent_Medium_value_payments
148;Low_spent_Large_value_payments
149;Low_spent_Large_value_payments
150;High_spent_Large_value_payments
151;High_spent_Medium_value_payments
152;Low_spent_Medium_value_payments
153;High_spent_Medium_value_payments
154;Low_spent_Small_value_payments
155;High_spent_Small_value_payments
156;High_spent_Medium_value_payments
157;Low_spent_Large_value_payments
158;Low_spent_Large_value_payments
159;Low_spent_Medium_value_payments
160;High_spent_Medium_value_payments
161;High_spent_Large_value_payments
162;Low_spent_Medium_value_payments
163;High_spent_Small_value_payments
164;Low_spent_Small_value_payments
165;Low_spent_Medium_value_payments
166;High_spent_Medium_value_payments
167;Low_spent_Large_value_payments
168;High_spent_Medium_value_payments
169;High_spent_Medium_value_payments
170;Low_spent_Large_value_payments
171;Low_spent_Small_value_payments
172;Low_spent_Small_value_payments
173;High_spent_Medium_value_payments
174;High_spent_Large_value_payments
175;Low_spent_Medium_value_payments
176;High_spent_Medium_value_payments
177;High_spent_Large_value_payments
178;Low_spent_Small_value_payments
179;Low_spent_Large_value_payments
180;High_spent_Medium_value_payments
181;Low_spent_Medium_value_payments
182;High_spent_Large_value_payments
183;High_spent_Medium_value_payments
184;Low_spent_Small_value_payments
185;High_spent_Small_value_payments
186;High_spent_Large_value_payments
187;Low_spent_Medium_value_payments
188;Low_spent_Small_value_payments
189;High_spent_Medium_value_payments
190;High_spent_Large_value_payments
191;High_spent_Large_value_payments
192;Low_spent_Small_value_payments
193;High_spent_Medium_value_payments
194;Low_spent_Medium_value_payments
195;Low_spent_Small_value_payments
196;High_spent_Medium_value_payments
197;Low_spent_Small_value_payments
198;High_spent_Large_value_payments
199;Low_spent_Large_value_payments
200;Low_spent_Large_value_payments
201;Low_spent_Medium_value_payments
202;High_spent_Medium_value_payments
203;High_spent_Medium_value_payments
204;High_spent_Small_value_payments
205;Low_spent_Small_value_payments
206;High_spent_Medium_value_payments
207;High_spent_Small_value_payments
208;Low_spent_Small_value_payments
209;High_spent_Large_value_payments
210;High_spent_Small_value_payments
211;Low_spent_Medium_value_payments
212;High_spent_Large_value_payments
213;High_spent_Large_value_payments
214;Low_spent_Medium_value_payments
215;Low_spent_Large_value_payments
216;Low_spent_Small_value_payments
217;High_spent_Large_value_payments
218;High_spent_Medium_value_payments
219;High_spent_Medium_value_payments
220;Low_spent_Small_value_payments
221;Low_spent_Small_value_payments
222;Low_spent_Small_value_payments
223;High_spent_Large_value_payments
224;High_spent_Small_value_payments
225;High_spent_Medium_value_payments
226;High_spent_Large_value_payments
227;High_spent_Small_value_payments
228;High_spent_Small_value_payments
